Time Slot ID,Description,3 Credit Time Slots
1,MW 11:30 - 12:45pm,
2,MW 1 - 2:15,
3,MW 2:30 - 3:45,
4,MW 4 - 5:15,
5,MW 5:30 - 6:45,
6,MW 7 - 8:15pm,
7,MW 8:30 - 9:45pm,
8,WF 11:30 - 12:45pm,
9,WF 1 - 2:15,
10,WF 2:30 - 3:45,
11,WF 4 - 5:15,
12,WF 5:30 - 6:45,
13,WF 7 - 8:15pm,
14,WF 8:30 - 9:45pm,
15,MF 11:30 - 12:45pm,
16,MF 1 - 2:15,
17,MF 2:30 - 3:45,
18,MF 4 - 5:15,
19,MF 5:30 - 6:45,
20,MF 7 - 8:15pm,
21,MF 8:30 - 9:45pm,
22,MWF 7 - 7:50am,
23,MWF 8 - 8:50am,
24,MWF 9 - 9:50am,
25,MWF 10 - 10:50am,
26,MWF 11-11:50am,
27,MWF 12 - 12:50pm,
28,MWF 1 - 1:50pm,
29,MWF 2 - 2:50pm,
30,MWF 3 - 3:50pm,
31,MWF 4 - 4:50,
32,MWF 5 - 5:50pm,
33,MWF 6 - 6:50pm,
34,MWF 7 - 7:50pm,
35,MWF 8 - 8:50pm,
36,MWF 9 - 9:50pm,
37,TR 7 - 8:15am,
38,TR 8:30 - 9:15am,
39,TR 10 - 11:15am,
40,TR 1 - 2:15pm,
41,TR 2:30 - 3:45pm,
42,TR 4 - 5:15pm,
43,TR 5:30 - 6:45pm,
44,TR 7 - 8:15pm,
45,TR 8:30 - 9:45pm,
