Time Slot ID,Description,4-Credit Times Slots
46,MW 11am - 12:50pm,
47,MW 1 - 2:50pm,
48,MW 3 - 4:50pm,
49,MW 5 - 6:50pm,
50,MW 6 - 7:50pm,
51,MW 7 - 8:50pm,
52,MW 8 - 9:50pm,
53,WF 11am - 12:50pm,
54,WF 1 - 2:50pm,
55,WF 3 - 4:50pm,
56,WF 5 - 6:50pm,
57,WF 6 - 7:50pm,
58,WF 7 - 8:50pm,
59,WF 8 - 9:50pm,
60,MF 11am - 12:50pm,
61,MF 1 - 2:50pm,
62,MF 3 - 4:50pm,
63,MF 5 - 6:50pm,
64,MF 6 - 7:50pm,
65,MF 7 - 8:50pm,
66,MF 8 - 9:50pm,
67,MWF 7am - 8:05am,
68,MWF 8:15am - 9:20am,
69,MWF 9:30am - 10:35am,
70,MWF 10:45am - 11:50am,
71,MWF 12pm - 1:05pm,
72,MWF 1:15pm - 2:20pm,
73,MWF 2:30pm - 3:35pm,
74,MWF 3:45pm - 4:50pm,
75,MWF 5pm - 6:05pm,
76,MWF 6:15pm - 7:20pm,
77,MWF 7:30pm - 8:35pm,
78,MWF 8:45pm - 9:50pm,
79,TR 8 - 9:50am,
80,TR 10 - 11:50am,
81,TR 1 - 2:50pm,
82,TR 3 - 4:50pm,
83,TR 5 - 6:50pm,
84,TR 6 - 7:50pm,
85,TR 7 - 8:50pm,
86,TR 8 - 9:50pm,
