Time Slot ID,Description,Afternoon: 12pm - 4:59pm
1,MW 11:30 - 12:45pm,
2,MW 1 - 2:15,
3,MW 2:30 - 3:45,
4,MW 4 - 5:15,
8,WF 11:30 - 12:45pm,
9,WF 1 - 2:15,
10,WF 2:30 - 3:45,
11,WF 4 - 5:15,
15,MF 11:30 - 12:45pm,
16,MF 1 - 2:15,
17,MF 2:30 - 3:45,
18,MF 4 - 5:15,
27,MWF 12 - 12:50pm,
28,MWF 1 - 1:50pm,
29,MWF 2 - 2:50pm,
30,MWF 3 - 3:50pm,
31,MWF 4 - 4:50,
40,TR 1 - 2:15pm,
41,TR 2:30 - 3:45pm,
42,TR 4 - 5:15pm,
46,MW 11am - 12:50pm,
47,MW 1 - 2:50pm,
48,MW 3 - 4:50pm,
53,WF 11am - 12:50pm,
54,WF 1 - 2:50pm,
55,WF 3 - 4:50pm,
60,MF 11am - 12:50pm,
61,MF 1 - 2:50pm,
62,MF 3 - 4:50pm,
71,MWF 12pm - 1:05pm,
72,MWF 1:15pm - 2:20pm,
73,MWF 2:30pm - 3:35pm,
74,MWF 3:45pm - 4:50pm,
81,TR 1 - 2:50pm,
82,TR 3 - 4:50pm,
